LON,LAT,SOG,COG
18.28163,-65.58711,6,129.8
18.28013,-65.58597,5,151
18.27805,-65.58471,4.5,152
18.27634,-65.58369,5.2,147.9
18.2747,-65.58278,3.8,159.5
18.27206,-65.58134,5.7,155.6
18.27018,-65.58047,5.6,151.3
18.26874,-65.57982,6.1,161.7
18.26674,-65.57892,5.1,153.3
18.26538,-65.57828,4.8,155
18.174578333333336,-65.52446917,5.9,88.6
18.26332,-65.57734,4.9,153.7
18.26184,-65.57668,5.8,156.6
18.25968,-65.57564,6,153
18.25752,-65.57461,5.9,157.7
18.25542,-65.57366,5.2,151
18.2538,-65.57287,7.3,158.8
18.25212,-65.57206,6.4,156.5
18.24968,-65.57093,6.2,157.5
18.24741,-65.57003,5.7,166.4
18.2445,-65.56902,6.3,162.1
18.24129,-65.56783,6.2,162.4
18.2388,-65.56694,6.2,158.6
18.23626,-65.56598,6.4,164.1
18.23356,-65.56494,6.8,153.4
18.23097,-65.56383,6,160.2
18.22778,-65.56281,7.6,176.6
18.2247,-65.56232,7.5,166.5
18.22172,-65.56158,7.4,162.2
18.21979,-65.56092,6.8,159.6
18.21623,-65.55962,6.8,164.5
18.21355,-65.55866,6.5,163.4
18.21174,-65.55798,6.9,158.8
18.20662,-65.55569,6.1,158.5
18.20425,-65.55451,6.1,157.3
18.20204,-65.55343,6.9,155.6
18.19973,-65.55225,6.3,155.7
18.19737,-65.55103,6.1,156.9
18.19574,-65.55019,6,154.6
18.19347,-65.54906,6.3,160.6
18.19194,-65.54827,6.1,150.5
18.19033,-65.54743,6.9,154.1
18.18807,-65.54612,5.9,147.9
18.18432,-65.54395,6,144.5
18.18234,-65.54272,4.4,152.5
18.18023,-65.54134,6.5,146.8
18.17883,-65.54042,6,148.8
18.17665,-65.53896,6.2,150.3
18.1748,-65.53763,3.5,147.4
18.17313,-65.53646,5.6,146.9
18.17212,-65.53571,3.7,154.4
18.17125,-65.53513,4.7,144.2
18.17023,-65.53306,6.2,105.6
